Date,AAPL.O
9/8/13,64.92136365
12/8/13,66.76564752
13/8/13,69.93850149
14/8/13,71.2142145
15/8/13,71.12992887
16/8/13,71.76135681
19/8/13,72.53421318
20/8/13,71.58135699
21/8/13,71.76564252
22/8/13,71.85135672
23/8/13,71.57421414
26/8/13,71.85278529
27/8/13,69.79850163
28/8/13,70.12792987
29/8/13,70.2427869
30/8/13,69.60221611
2/9/13,
3/9/13,69.79707306
4/9/13,71.24150019
5/9/13,70.75278639
6/9/13,71.17421454
9/9/13,72.30992769
10/9/13,70.66278648
11/9/13,66.81564747
12/9/13,67.52707533
13/9/13,66.4142193
16/9/13,64.30279284
17/9/13,65.04564924
18/9/13,66.38279076
19/9/13,67.4713611
20/9/13,66.77279037
23/9/13,70.09135848
24/9/13,69.8713587
25/9/13,68.78993121
26/9/13,69.45993054
27/9/13,68.96421675
30/9/13,68.10707475
1/10/13,69.70850172
2/10/13,69.93707292
3/10/13,69.05850237
4/10/13,69.00421671
7/10/13,69.67850175
8/10/13,68.70564558
9/10/13,69.51250192
10/10/13,69.94821577
11/10/13,70.40164388
14/10/13,70.86278628
15/10/13,71.23992876
16/10/13,71.5876427
17/10/13,72.0713565
18/10/13,72.69849873
21/10/13,74.48021123
22/10/13,74.26671145
23/10/13,74.99421072
24/10/13,75.98706687
25/10/13,75.13678201
28/10/13,75.69649573
29/10/13,73.81106905
30/10/13,74.98506787
31/10/13,74.67163961
1/11/13,74.28992571
4/11/13,75.24992475
5/11/13,75.06406779
6/11/13,74.41706844
7/11/13,73.21306964
8/11/13,74.36563992
11/11/13,74.14964014
12/11/13,74.28706857
13/11/13,74.37621134
14/11/13,75.45135312
15/11/13,74.99863929
18/11/13,74.08978305
19/11/13,74.22135435
20/11/13,73.571355
21/11/13,74.44792555
22/11/13,74.2570686
25/11/13,74.81992518
26/11/13,76.1999238
27/11/13,77.99420772
28/11/13,
29/11/13,79.43849199
2/12/13,78.74706411
3/12/13,80.90306195
4/12/13,80.714205
5/12/13,81.12863316
6/12/13,80.00277714
9/12/13,80.91849051
10/12/13,80.79277635
11/12/13,80.19420552
12/12/13,80.07706278
13/12/13,79.20420651
16/12/13,79.6427775
17/12/13,79.28420643
18/12/13,78.68134989
19/12/13,77.77992222
20/12/13,78.43135014
23/12/13,81.44134713
24/12/13,81.09563319
25/12/13,
26/12/13,80.5570623
27/12/13,80.01277713
30/12/13,79.21706364
31/12/13,80.14563414
1/1/14,
2/1/14,79.01849241
3/1/14,77.28277986
6/1/14,77.70420801
7/1/14,77.14813714
8/1/14,77.63706522
9/1/14,76.64549478
10/1/14,76.13420958
13/1/14,76.53278061
14/1/14,78.05563623
15/1/14,79.62277752
16/1/14,79.17849225
17/1/14,77.23849419
20/1/14,
21/1/14,78.43849299
22/1/14,78.78706407
23/1/14,79.45420626
24/1/14,78.00992199
27/1/14,78.6427785
28/1/14,72.3570705
29/1/14,71.53564275
30/1/14,71.39735717
31/1/14,71.5142142
